06-01-2023 13:47,VALORANT,VISIONS,225142
06-01-2023 13:49,AJR,100 Bad Days,840
06-01-2023 13:49,Bring Me The Horizon,Can You Feel My Heart,3530
06-01-2023 13:51,K/DA,POP/STARS,770
06-01-2023 13:51,OneRepublic,I Ain't Worried,148485
06-01-2023 13:51,The Chainsmokers,Something Just Like This,3034
06-01-2023 13:55,Nathan Dawe,Lighter (feat. KSI),1580
06-01-2023 13:55,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,23953
06-01-2023 13:55,VALORANT,Fire Again,206776
06-01-2023 14:00,Justin Bieber,Love Yourself,233720
06-01-2023 15:45,Maroon 5,One More Night,43014
06-01-2023 15:48,Maroon 5,Moves Like Jagger,202640
06-01-2023 15:53,Harry Styles,Watermelon Sugar,7818
06-01-2023 15:53,Coldplay,Sparks,227093
06-01-2023 15:57,Maroon 5,Sugar,235493
06-01-2023 15:58,Jason Derulo,Want to Want Me,990
06-01-2023 15:58,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez) - DROELOE Remix,9504
06-01-2023 15:58,Maroon 5,Animals,1290
06-01-2023 15:58,Ed Sheeran,2step,3660
06-01-2023 16:01,Shawn Mendes,There's Nothing Holdin' Me Back,199440
06-01-2023 16:05,OneRepublic,Counting Stars,257266
06-01-2023 16:06,Lauv,I Like Me Better,0
06-01-2023 16:06,Maroon 5,Maps,1720
06-01-2023 16:06,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),7975
06-01-2023 16:06,Nathan Dawe,Lighter (feat. KSI & Ella Henderson) - Acoustic,70
06-01-2023 16:06,Charlie Puth,Light Switch,750
06-01-2023 16:06,Ryan Mack,Overwhelmed (Ryan Mack Remix),900
06-01-2023 16:06,Coldplay,Viva La Vida,70
06-01-2023 16:06,DJ Snake,Let Me Love You,390
06-01-2023 16:06,Ed Sheeran,Castle on the Hill,920
06-01-2023 16:06,Coldplay,The Scientist,860
06-01-2023 16:06,Marshmello,Happier,590
06-01-2023 16:06,JAWNY,Honeypie,610
06-01-2023 18:12,Mark Ronson,Uptown Funk (feat. Bruno Mars),269666
06-01-2023 18:13,Maroon 5,Payphone,940
06-01-2023 18:13,Harry Styles,As It Was,60643
06-01-2023 18:17,Ed Sheeran,Bad Habits,230746
06-01-2023 18:21,Charlie Puth,Attention,208786
06-01-2023 18:24,Shawn Mendes,Stitches,206880
06-01-2023 18:25,The Chainsmokers,Something Just Like This,2722
06-01-2023 18:28,Marshmello,Silence,180822
07-01-2023 15:08,5 Seconds of Summer,Youngblood,550
07-01-2023 15:08,Alan Walker,Alone,139097
07-01-2023 15:08,The Chainsmokers,Closer,620
07-01-2023 15:08,The Chainsmokers,Paris,1710
07-01-2023 15:08,Bruno Mars,That's What I Like,3100
07-01-2023 15:08,Nicky Youre,Sunroof,1590
07-01-2023 15:10,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),120010
07-01-2023 18:47,Portal,Portal muzsika,1260
07-01-2023 18:47,VALORANT,RAJA,1480
07-01-2023 18:47,Marshmello,Silence,1760
07-01-2023 18:47,Maroon 5,Payphone,2750
07-01-2023 18:47,Harry Styles,As It Was,1400
07-01-2023 18:47,Ed Sheeran,Remember The Name (feat. Eminem & 50 Cent),205512
07-01-2023 18:47,The Kid LAROI,STAY (with Justin Bieber),1820
07-01-2023 18:47,Avicii,The Nights,4470
07-01-2023 18:47,Bring Me The Horizon,Can You Feel My Heart,5610
07-01-2023 18:47,Axwell /\ Ingrosso,More Than You Know,0
